,ingredients,Calcium,Carbohydrate,Cholesterol,Fatty_acids_total_saturated,Fatty_acids_total_trans,Fiber,Iron,Protein,Sodium,Sugars,Fat,Energy
16950,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural flavors, modified cornstarch, canola oil, sodium citrate, cellulose gum, sucralose, acesulfame potassium, neotame, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6, and calcium disodium edta to protect color",0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,105.0,5.08,0.0,24.0
16951,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural flavors, modified cornstarch, canola oil, sodium citrate, celluslose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6, calcium disodium edta to protect color",0.0,5.21,0.0,0.0,0.0,0.0,0.0,0.0,102.0,4.79,0.0,25.0
16952,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural flavors, sodium citrate, sucralose, acesulfame potassium, neotame, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6, and calcium disodium edta to protect color",0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,51.0,5.08,0.0,20.0
16953,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural flavors, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6 and calcium disodium edta to protect color",0.0,5.89,0.0,0.0,0.0,0.0,0.0,0.0,38.5,5.515,0.0,22.0
16954,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride vitamin b1), natural & artificial flavors, modified cornstarch, canola oil, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #6, red #40",0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,56.0,5.83,0.0,25.0
16955,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , natural and artificial flavors, citric acid, malic acid, ascorbic acid , thiamin hydrochloride , modified cornstarch, canola oil, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, red #40",0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,56.0,5.830000000000001,0.0,25.0
16956,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , natural and artificial flavors, citric acid, malic acid, ascorbic acid , thiamin hydrochloride , modified cornstarch, canola oil, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, red #40, calcium disodium edta to protect color",0.0,6.04,0.0,0.0,0.0,0.0,0.0,0.0,67.0,5.83,0.0,25.0
16957,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , natural and artificial flavors, citric acid, malic acid, ascorbic acid , thiamin hydrochloride , modified cornstarch, canola oil, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6 and calcium disodium edta to protect color",0.0,6.13,0.0,0.0,0.0,0.0,0.0,0.0,68.0,5.71,0.0,25.0
16958,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , natural and artificial flavors, citric acid, malic acid, ascorbic acid , thiamin hydrochloride , modified cornstarch, canola oil, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6, red #40",0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,56.0,5.83,0.0,25.0
16959,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , purees , citric acid, natural and artificial flavors, pectin, gum acacia, sucralose, glycerol ester of wood rosin, sodium hexametaphosphate, red 40, potassium sorbate , ascorbic acid",0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.33,0.0,33.0
16960,"water, high fructose corn syrup and 2 or less or each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural & artificial flavors, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #6, red #40 and calcium disodium edta protect color",500.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,0.0,25.0
16961,"water, high fructose corn syrup cranberry juice concentrate, ascorbic acid",0.0,14.17,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.17,0.0,54.0
16962,"water, high fructose corn syrup, 1 of citric acid, corn oil, ascorbic acid , modified food starch, xanthan gum, sodium citrate, natural flavors, sodium benzoate and potassium sorbate , sucralose, acesulfame potassium, yellow 6, yellow 5, caramel color, edta , neotame",0.0,5.42,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0,0.0,21.0
16963,"water, high fructose corn syrup, 1 of citric acid, natural flavor, lemon juice concentrate, sucralose, acesulfame potassium, glycerol ester of rosin, potassium sorbate , yellow 5",0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.25,0.0,6.0
16964,"water, high fructose corn syrup, 2 concentrated juices , ascorbic acid , citric acid, natural and artificial flavors, pectin, canola oil, modified corn starch, red 40, sucralose, sucrose acetate isobutyrate, sodium citrate, potassium sorbate and sodium hexametaphosphate , calcium disodium edta",0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,62.0,3.75,0.0,17.0
16965,"water, high fructose corn syrup, 2 concentrated juices , ascorbic acid , citric acid, natural and artificial flavors, pectin, canola oil, modified corn starch, yellow 5, yellow 6, sucralose, sucrose acetate isobutyrate, sodium citrate, potassium sorbate and sodium hexametaphosphate , calcium disodium edta",0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,62.0,3.75,0.0,17.0
16966,"water, high fructose corn syrup, 2 concentrated juices , fruit purees , ascorbic acid , citric acid, natural and artificial flavors, pectin, acacia gum, ester gum, red 40, blue 1, sucralose, potassium sorbate and sodium hexametaphosphate",0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,43.333333333333336,4.91,0.0,19.666666666666668
