,ingredients,Calcium,Carbohydrate,Cholesterol,Fatty_acids_total_saturated,Fatty_acids_total_trans,Fiber,Iron,Protein,Sodium,Sugars,Fat,Energy
3735,"cranberries, high fructose corn syrup,water,corn syrup and citric acid",0.0,35.71,0.0,0.0,0.0,1.4,0.0,0.0,14.0,30.0,0.0,157.0
3736,"cranberries, oranges, sugar, water",0.0,8.75,0.0,0.0,0.0,0.8,0.0,0.42,0.0,6.67,0.0,37.0
3737,"cranberries, organic sugar, water, orange juice, dijon mustard , organic spices, kosher salt",0.0,32.89,0.0,0.0,0.0,0.0,0.0,0.0,53.0,28.95,0.0,132.0
3738,"cranberries, pears , sugar, water, orange peel , pecans roasted in cottonseed oil, vinegar, spices, lemon juice concentrate",0.0,28.95,0.0,0.0,0.0,2.6,0.0,0.0,145.0,23.68,2.63,132.0
3739,"cranberries, pineapple, mango, banana",0.0,15.04,0.0,0.0,0.0,3.0,0.0,0.75,0.0,9.02,0.0,60.0
3740,"cranberries, raw cane demerara sugar, water",0.0,45.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,40.0,0.0,167.0
3741,"cranberries, sugar and sunflower oil",9.333333333333334,63.71333333333333,0.0,0.0,0.0,4.733333333333333,0.0,0.0,0.0,54.27333333333333,0.0,259.3333333333333
3742,"cranberries, sugar, and water",0.0,38.57,0.0,0.0,0.0,2.9,0.0,0.0,0.0,34.29,0.0,143.0
3743,"cranberries, sugar, filtered water, citric acid",0.0,40.0,0.0,0.0,0.0,1.4,0.0,0.0,14.0,34.29,0.0,157.0
3744,"cranberries, sugar, sunflower oil",10.0,87.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,65.0,0.0,350.0
3745,"cranberries, sugar, water",0.0,41.66888888888889,0.0,0.0,0.0,1.8999999999999997,0.14166666666666666,0.0,0.0,37.85277777777778,0.0,161.16666666666666
3746,"cranberries, sugar, water, apples, orange peel , orange juice concentrate, cranberry juice concentrate, ginger , fruit pectin, lemon juice concentrate, cinnamon, cloves, xanthan gum",0.0,38.33,0.0,0.0,0.0,3.3,0.0,0.0,0.0,30.0,0.0,150.0
3747,"cranberries, sugar, water, concentrated orange juice",0.0,31.43,0.0,0.0,0.0,2.9,0.0,0.0,0.0,27.14,0.0,129.0
3748,"cranberries, sugar, water, cultured dextrose",24.166666666666668,35.0,0.0,0.0,0.0,2.9,0.2125,0.0,0.0,30.0,0.0,143.0
3749,"cranberries, sugar, water, naturally derived citric acid",0.0,40.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,35.71,0.0,143.0
3750,"cranberries, sugar, water, oranges",0.0,35.62,0.0,0.0,0.0,1.4,0.0,0.0,0.0,31.51,0.0,137.0
3751,"cranberries, sugar, water, raspberry puree, orange juice concentrate, dried cranberries, mint, salt, dried orange peel, black pepper",0.0,42.42,0.0,0.0,0.0,3.0,0.0,0.0,91.0,36.36,0.0,152.0
3752,"cranberries, sugar, water,naturally derived citric acid",0.0,40.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,35.71,0.0,143.0
3753,"cranberries, tangerines, cane sugar, purified water",0.0,110.25,0.0,0.0,0.0,10.48,0.0,0.0,0.0,89.248,0.0,462.2
3754,"cranberries, water and sugar",0.0,37.14,0.0,0.0,0.0,1.3999999999999997,0.0,0.0,21.0,24.290000000000003,0.0,143.0
3755,"cranberries, water, brown cane sugar, port wine, orange juice concentrate, orange peel, spices",0.0,22.95,0.0,0.0,0.0,1.6,0.0,0.0,0.0,19.67,0.0,98.0
3756,"cranberries, water, high fructose corn syrup, corn syrup",1.5,38.57,0.0,0.0,0.0,1.3999999999999997,0.0,0.0,0.0,30.0,0.0,157.0
3757,"cranberries, water, high fructose corn syrup, corn syrup, citric acid",0.0,38.57,0.0,0.0,0.0,1.4,0.0,0.0,0.0,30.0,0.0,157.0
3758,"cranberries, water, organic cane sugar, granulated orange peel, dried ginger, spices",0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.43,0.0,93.0
3759,"cranberries, water, sugar",0.0,38.57,0.0,0.0,0.0,1.4,0.0,0.0,50.0,31.43,0.0,157.0
3760,"cranberries, water, sugar, brown sugar, bourbon, orange juice concentrate, orange peel, cinnamon",38.0,43.4,0.0,0.0,0.0,5.7,0.68,0.0,0.0,33.96,0.0,189.0
3761,"cranberries, water, vinegar, red bell peppers, sugar, crushed red chili peppers, pectin, citric acid",0.0,77.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.22,0.0,278.0
3762,"cranberry and blood orange juices from concentrate , sugar, natural flavors, citric acid and ascorbic acid",0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.66,0.0,51.0
3763,"cranberry and blueberry juices , water, organic evaporated cane syrup",1.1666666666666667,8.67,0.0,0.08333333333333333,0.0,0.049999999999999996,0.02,0.11166666666666668,7.833333333333333,7.0,0.3333333333333333,38.666666666666664
3764,cranberry bean,143.0,60.0,0.0,0.0,0.0,25.7,5.14,22.86,6.0,0.0,1.43,257.0
3765,cranberry beans,88.84444444444445,55.81444444444445,0.0,0.032,0.0,25.65111111111111,5.647555555555555,22.613111111111113,7.066666666666666,1.9037777777777778,0.6664444444444444,289.2888888888889
3766,cranberry juice,3.142857142857143,7.876666666666667,0.0,0.0,0.0,0.0,0.08523809523809524,0.0,3.5238095238095237,5.197619047619048,0.0,29.571428571428573
3767,"cranberry juice , apple juice , grape juice , pear juice , natural flavor, pectin, ascorbic acid",8.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.17,0.0,46.0
3768,"cranberry juice , grape juice , apple juice , pear juice , natural flavor, pectin, ascorbic acid",0.0,11.728571428571428,0.0,0.0,0.0,0.0,0.06,0.0,7.214285714285714,11.014285714285714,0.0,44.714285714285715
3769,"cranberry juice , grape juice , apple juice , pear juice , natural flavors, pectin, ascorbic acid",0.0,11.357619047619048,0.0,0.0,0.0,0.0,0.0,0.0,6.380952380952381,11.357619047619048,0.0,45.23809523809524
3770,"cranberry juice , water, and organic coconut palm sugar",7.0,9.0,0.0,0.055,0.0,0.36666666666666664,0.13999999999999999,0.11166666666666668,17.0,6.669999999999999,0.6116666666666667,39.666666666666664
3771,cranberry juice concentrate,67.0,53.33,0.0,0.0,0.0,0.0,1.67,0.0,50.0,23.33,0.0,200.0
3772,"cranberry juice concentrate, filtered water",1.3333333333333333,26.528333333333336,0.0,0.0,0.0,0.0,1.4416666666666667,0.0,15.833333333333334,11.803333333333333,0.0,103.0
3773,"cranberry juice concentrate, water",0.0,64.25,0.0,0.0,0.0,0.0,1.3500000000000003,0.0,34.0,33.81,0.0,271.0
3774,cranberry juice from concentrate,2.7083333333333335,7.83875,0.0,0.0,0.0,0.0,0.7758333333333334,0.0,9.5,4.14625,0.0,27.333333333333332
3775,"cranberry juice from concentrate , apple juice from concentrate , white grape juice from concentrate , pear juice from concentrate , banana juice from concentrate , peach juice from concentrate , natural flavor, ascorbic acid , fruit juice",0.0,12.919999999999998,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.25,0.0,50.0
3776,"cranberry juice from concentrate , cranberry juice",0.0,7.5,0.0,0.0,0.0,0.0,0.46,0.0,12.0,2.92,0.0,29.0
3777,"cranberry juice from concentrate , dark sweet cherry juice from concentrate , white grape juice from concentrate , pear juice from concentrate , apple juice from concentrate , peach juice from concentrate , banana juice from concentrate , kiwi juice from concentrate , red grape juice from concentrate , natural flavors",6.4,11.336,0.0,0.0,0.0,0.0,0.12,0.33599999999999997,12.0,10.336,0.0,46.4
3778,"cranberry juice from concentrate , grape juice from concentrate , apple juice from concentrate , pear juice from concentrate , lemon juice from concentrate , natural flavors, pectin",8.0,11.67,0.0,0.0,0.0,0.0,0.29,0.0,6.0,11.67,0.0,46.0
3779,"cranberry juice from concentrate , grape juice from concentrate , apple juice from concentrate , pear juice from concentrate , natural flavors, ascorbic acid , pectin",0.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.17,0.0,46.0
3780,"cranberry juice from concentrate , grape juice from concentrate , apple juice from concentrate , pear juice from concentrate , natural flavors, pectin, ascorbic acid",0.0,12.085,0.0,0.0,0.0,0.0,0.0,0.0,11.863636363636363,12.085,0.0,48.0
3781,"cranberry juice from concentrate , grape juice from concentrate , apple juice from concentrate , pear juice from concentrate natural flavor, ascorbic acid , pectin",0.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.17,0.0,46.0
3782,"cranberry juice from concentrate , pear juice from concentrate , apple juice from concentrate , white grape juice from concentrate , concord grape juice from concentrate",0.0,12.5,0.0,0.0,0.0,0.0,0.12,0.42,4.0,10.0,0.0,50.0
3783,"cranberry juice from concentrate , white grape juice from concentrate , apple juice from concentrate , pear juice from concentrate , grape juice from concentrate , peach juice from concentrate , natural flavor, ascorbic acid , fruit juice , citric acid",0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.42,0.0,50.0
3784,"cranberry juice from concentrate , white grape juice from concentrate , apple juice from concentrate , pear juice from concentrate , natural flavor, pectin, ascorbic acid",0.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.58,0.0,46.0
3785,"cranberry juice from concentrate water, cranberry juice concentrate), grape juice from concentrate , apple juice from concentrate , pear juice from concentrate , natural flavors, pectin, ascorbic acid",0.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.67,0.0,46.0
3786,"cranberry juice from concentrate, marionberry juice from concentrate and apple juice from concentrate",54.0,10.0,0.0,0.0,0.0,0.2,0.15,1.04,2.0,9.38,0.12,43.0
3787,"cranberry juice from concentrate, water and organic raw blue agave nectar",6.4,7.0,0.0,0.0,0.0,0.0,0.24,0.0,6.4,5.336,0.0,26.4
3788,"cranberry juice, orange juice, turmeric juice, lemon juice, black pepper",0.0,106.66666666666667,0.0,0.0,0.0,0.0,6.3999999999999995,0.0,0.0,88.88666666666667,0.0,444.6666666666667
3789,cranberry sauce,0.0,47.14,0.0,0.0,0.0,1.4,0.0,0.0,0.0,41.43,0.0,186.0
3790,"cranberry, apple",8.0,12.24,0.0,0.0,0.0,0.0,0.3,0.42,2.0,11.81,0.0,46.0
3791,"creamer potatoes, petite green beans, lemon shallot butter sauce",18.0,10.62,4.0,0.44,0.0,1.8,0.96,1.77,274.0,0.0,1.33,62.0
3792,"creme cake contains 2 or less of each of the following: leavening , emulsifier , vital wheat gluten, artificial flavor, egg whites, soy flour), tres leches mx eggs, whole milk, condensed milk , evaporated milk , water, baking powder soy lecithin , vanilla extract, amaretto extract , annatto extract , potassium sorbate to preserve freshness of the product strawberry filling , preservatives , salt, artificial flavor, lemon juice concentrate, citric acid, red 40, phosphoric acid, blue 1, whipped topping c",63.0,28.350000000000005,47.0,7.09,0.0,0.0,0.57,3.15,189.0,19.69,11.81,228.0
3793,"crimini mushroom, mozzarella cheese , panko bread crumbs , onio",61.0,7.58,8.0,1.52,0.0,1.5,0.55,4.55,379.0,1.52,2.27,68.0
3794,"crimini mushroom, mozzarella cheese , panko bread crumbs , onion, red bell pepper, green bell pepper, parmesan cheese , kalamata olives pitted , garlic powder, salt, white pepper, tomato paste , italian seasoning",50.833333333333336,7.580000000000001,8.0,1.5200000000000002,0.0,1.5,0.4583333333333333,4.55,379.0,1.5200000000000002,2.27,68.0
3795,"crimini mushroom, mozzarella cheese , tomatoes, yellow onion, black olives, tomato paste , jalapenos, cilantro, italian seasoning , parsley",70.0,5.26,9.0,0.88,0.0,1.8,0.63,3.51,79.0,1.75,1.75,53.0
3796,"crimini mushroom, zucchini, green bell pepper, red bell pepper, red onion, yellow squash",18.0,5.31,0.0,0.0,0.0,0.9,0.32,1.77,4.0,2.65,0.0,22.0
3797,crimini mushrooms,0.0,4.76,0.0,0.0,0.0,0.6,0.43,2.38,6.0,0.0,0.0,24.0
3798,"crimini mushrooms, asparagus",24.0,3.53,0.0,0.0,0.0,1.2,1.18,2.35,0.0,2.35,0.0,29.0
3799,"crimini mushrooms, hatch chili stuffed mushroom mix , panko bread crumbs",108.85714285714286,4.76,16.0,3.1699999999999995,0.0,0.0,0.48857142857142855,4.76,87.0,1.59,4.76,79.0
3800,"crimini mushrooms, red onion, zucchini, green bell pepper, red bell pepper, yellow squash",16.0,5.88,0.0,0.0,0.0,1.2,0.0,1.18,0.0,2.35,0.0,24.0
3801,"crimini mushrooms, roasted garlic butter",18.0,4.46,18.0,3.57,0.0,0.9,0.36,2.68,45.0,1.79,8.04,98.0
3802,"crimini mushrooms, spinach, feta cheese , panko crumb , parmesan cheese , sundried tomatoes, dehydrated lemon peel, garlic powder, salt",76.0,10.61,8.0,0.76,0.0,1.5,1.52,6.06,394.0,3.03,2.27,76.0
3803,"crimini mushrooms, tomatoes, feta cheese , panko bread crumbs , sun dried tomatoes , parsley, pomace olive oil , balsamic vinegar of modena , basil, minced garlic in water , black pepper",35.0,8.77,0.0,0.0,0.0,1.8,0.63,3.51,105.0,3.51,1.75,61.0
3804,"crimini mushrooms, tomatoes, feta cheese crumbles , panko bread crumbs , sun dried tomatoes , parsley, olive oil, balsamic vinegar, basil, garlic, pepper",35.0,8.77,9.0,0.88,0.0,1.8,0.63,3.51,96.0,1.75,1.75,61.0
3805,"crimini mushrooms, tuscan style mushroom filling , balsamic vinegar of modena , minced garlic in water , basil, black pepper), feta cheese , panko bread crumbs , sun dried tomatoes , parsley)",54.0,10.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,70.0
3806,"crimini mushrooms, yellow onion, red onion, garlic, parsley, rosemary, thyme",24.0,7.06,0.0,0.0,0.0,1.2,0.42,2.35,6.0,2.35,0.0,35.0
3807,"crimini, shiitake, oyster mushrooms",0.0,5.748333333333334,0.0,0.0,0.0,1.8,1.1233333333333333,2.2083333333333335,10.833333333333334,1.7700000000000002,0.0,31.0
3808,"criminl mushrooms, brussels sprouts, kale pesto",62.0,6.36,0.0,0.9099999999999999,0.0,1.7999999999999998,0.9099999999999999,3.6399999999999997,55.0,1.8199999999999998,6.36,91.0
3809,crinkle cut carrots,36.0,8.24,0.0,0.0,0.0,3.5,0.0,1.18,71.0,4.71,0.0,35.0
3810,"cripps pink apple juice, vitamin c",0.0,13.52,0.0,0.0,0.0,0.0,0.3,0.0,0.0,12.68,0.0,51.0
3811,crisp apple,0.0,14.29,0.0,0.0,0.0,3.2,0.23,0.0,0.0,10.39,0.65,52.0
3812,"crisp pink apple juice, vitamin c",0.0,13.5,0.0,0.0,0.0,0.0,0.3,0.0,0.0,12.66,0.0,51.0
3813,cross cut celery stalk,714.0,64.29,0.0,0.0,0.0,14.3,7.71,14.29,1571.0,14.29,0.0,286.0
3814,"crowder peas, water",25.5,26.159999999999997,0.0,0.0,0.0,5.25,2.21,9.885000000000002,11.5,0.58,0.58,151.0
3815,crown jocote,22.0,22.14,0.0,0.0,0.0,0.0,0.6,0.71,0.0,12.14,0.0,93.0
3816,crunchy lettuce,25.0,3.53,0.0,0.0,0.0,1.2,1.18,1.18,24.0,2.35,0.0,18.0
3817,crushed pineapple and fresh pineapple juice,15.0,15.79,0.0,0.0,0.0,1.5,0.54,0.75,8.0,14.29,0.0,60.0
3818,"crushed pineapple, pineapple juice",0.0,13.95,0.0,0.0,0.0,0.8,0.28,0.0,0.0,11.63,0.0,54.0
3819,"crushed pineapple, pineapple juice, citric acid",14.6,13.7004,0.0,0.0,0.0,0.8,0.053200000000000004,0.0,0.0,11.250399999999999,0.0,57.0
3820,"crushed pineapple, sweetener: , pectin, citric acid,",0.0,61.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,0.0,243.0
3821,"crushed pineapple, water, citric acid and sucralose",0.0,8.61,0.0,0.0,0.0,1.2000000000000002,0.0,0.41,4.0,6.5600000000000005,0.0,35.0
3822,"crushed pineapple, whipped topping , pistachio flavored pudding , marshmallow , roasted almonds, , water, sodium benzoate , food color , potassium sorbate",14.4,26.360000000000003,0.0,3.18,0.0,0.9,0.264,0.9099999999999999,136.0,22.73,3.6399999999999997,136.0
3823,"crushed tomatoes, tomato puree, salt, citric acid",0.0,7.89,0.0,0.0,0.0,1.3,0.0,1.32,197.0,3.95,0.0,26.0
3824,cucumber,9.6,2.6239999999999997,0.0,0.0,0.0,0.6,0.168,1.0779999999999998,0.0,1.0779999999999998,0.0,13.2
3825,"cucumber juice from concentrate , concord grape puree from concentrate , banana puree, blueberry puree, spinach juice from concentrate , apple juice from concentrate , red beet juice from concentrate , lemon juice from concentrate , blackberry puree, kale puree, natural flavors, pectin",6.0,8.92,0.0,0.0,0.0,0.9,0.11,0.62,9.0,7.69,0.0,40.0
3826,"cucumber juice from concentrate , concord grape puree from concentrate banana puree, blueberry puree, spinach juice from concentrate , apple juice from concentrate , red beet juice from concentrate , lemon juice from concentrate , blackberry puree, kale puree, natural flavors, pectin",8.0,8.75,0.0,0.0,0.0,0.8,0.15,0.42,8.0,7.5,0.0,38.0
3827,"cucumber juice, apple juice, celery juice, dandelion juice, lemon juice, kale juice, cayenne pepper",6.666666666666667,4.23,0.0,0.0,0.0,0.0,0.19166666666666668,0.21,12.0,3.3800000000000003,0.11,17.0
3828,"cucumber juice, apple juice, celery juice, lemon juice, spinach juice, ginger juice, kale juice, mint juice, parsley juice",14.0,3.38,0.0,0.0,0.0,0.0,0.2,0.28,20.0,2.25,0.0,14.0
3829,"cucumber juice, apple juice, jalapeno juice, lemon juice",17.0,6.67,0.0,0.0,0.0,0.0,0.0,0.83,0.0,5.0,0.0,25.0
3830,"cucumber juice, celery juice, apple juice, lemon juice, spinach juice, ginger juice, kale juice, mint juice, parsley juice",14.0,3.1,0.0,0.0,0.0,0.0,0.2,0.28,20.0,2.25,0.0,14.0
3831,"cucumber juice, celery juice, apple juice, lime juice, holy basil extract, aloe, jalapeno extract, sweet basil extract",506.57142857142856,94.0942857142857,0.0,0.0,0.0,0.0,7.237142857142857,14.477142857142857,579.1428571428571,57.90571428571428,0.0,434.2857142857143
3832,"cucumber juice, celery juice, cabbage juice, romaine lettuce juice, lemon juice, broccoli juice, parsley juice",84.0,1.6900000000000002,0.0,0.0,0.0,0.4000000000000001,0.61,0.0,15.0,1.27,0.0,25.0
3833,"cucumber juice, celery juice, grapefruit juice, green chard juice, green leaf lettuce juice, lemon juice, kale juice, spinach juice, parsley juice, tea",19.0,2.9,0.0,0.0,0.0,0.0,0.23,0.65,27.0,1.61,0.0,13.0
3834,"cucumber juice, celery juice, grapefruit juice, green chard juice, green leaf, lettuce juice, lemon juice, kale juice, spinach juice, parsley juice, tea",23.0,2.82,0.0,0.0,0.0,0.0,0.2,0.56,28.0,1.69,0.0,14.0
3835,"cucumber juice, celery juice, kale juice, lemon juice, dandelion juice, parsley juice, spinach juice",105.0,2.53,0.0,0.0,0.0,0.4000000000000001,0.7600000000000001,0.42,27.0,0.84,0.0,30.0
3836,"cucumber juice, celery juice, lemon juice, spinach juice, dandelion greens juice, parsley juice, burdock root",8.8,2.54,0.0,0.0,0.0,0.6,0.08,0.28,30.0,1.69,0.0,11.0
3837,"cucumber juice, celery juice, lemon juice, spinach juice, dandelion greens juice, parsley juice, burdock root extract",13.0,2.54,0.0,0.0,0.0,0.4000000000000001,0.08,0.42,30.0,1.6900000000000002,0.0,11.0
3838,"cucumber juice, celery juice, lemon juice, spinach juice, e3live , kale juice, parsley juice",8.8,2.54,0.0,0.0,0.0,0.6,0.08,0.28,28.0,1.69,0.0,11.0
3839,"cucumber juice, celery juice, lemon juice, spinach juice, parsley juice",12.0,2.25,0.0,0.0,0.0,0.3,0.0,0.28,35.0,1.41,0.0,11.0
3840,"cucumber juice, celery juice, romaine juice, kale juice spinach juice, ginger juice lemon juice, parsley juice",42.0,1.48,0.0,0.0,0.0,0.2,0.3,0.85,66.0,1.06,0.11,11.0
3841,"cucumber juice, celery juice, spinach juice, dandelion juice, lime juice, lemon juice, cilantro juice",10.4,1.9,0.0,0.0,0.0,0.0,0.184,0.21000000000000002,27.0,1.06,0.0,10.0
3842,"cucumber juice, celery juice, swiss chard juice, apple juice, kale juice, collard greens juice, lime juice, parsley juice",51.0,3.3800000000000003,0.0,0.0,0.0,0.3,0.36000000000000004,1.01,41.0,2.03,0.17,20.0
3843,"cucumber juice, michigan apple juice, celery juice, lemon juice spinach juice, ginger juice, kale juice, mint juice, parsley juice",14.0,3.38,0.0,0.0,0.0,0.0,0.2,0.28,20.0,2.25,0.0,14.0
3844,"cucumber juice, pineapple juice, celery juice, spinach juice, parsley juice",13.0,6.34,0.0,0.0,0.0,0.4000000000000001,0.23,0.42,20.0,4.86,0.0,27.0
3845,"cucumber juice, pineapple juice, spinach juice, romaine lettuce juice, apple juice, kale juice, mango puree, mint juice",7.0,4.205,0.0,0.0,0.0,0.35,0.0,0.87,21.0,2.9749999999999996,0.0,21.0
3846,"cucumber juice, romaine lettuce juice, apple juice, celery juice, spinach juice, kale juice, parsley juice, lemon juice, ginger juice",42.0,4.72,0.0,0.0,0.0,0.3,1.0,0.8299999999999998,19.0,2.78,0.28,25.0
3847,"cucumber juice, spinach juice, kale juice, reconstituted apple juice, lemon juice, celery juice, ginger powder",8.0,8.75,0.0,0.0,0.0,0.0,1.04,0.42,8.0,6.67,0.0,38.0
3848,"cucumber juice1, celery juice1, grapefruit juice1, green chard juice1, green leaf lettuce juice1, lemon juice1, kale juice1, spinach juice, parsleyjuice1, tea1",0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.5,20.0,1.75,0.0,15.0
3849,"cucumber juice1, celery juice1, grapefruit juice1, green chard juice1, green leaf lettuce juice1, lemon juice1, kale juice1, spinach juice1, parsley juice1, tea1",16.5,2.9466666666666668,0.0,0.0,0.0,0.049999999999999996,0.18666666666666668,0.61,26.0,1.6466666666666667,0.0,13.5
3850,"cucumber juice¹, celery juice¹, grapefruit juice¹, green chard juice¹, green leaf lettuce juice¹, lemon juice¹, kale juice¹, spinach juice¹, parsley juice¹, tea¹",19.0,2.9,0.0,0.0,0.0,0.0,0.23,0.65,27.0,1.61,0.0,13.0
3851,"cucumber, apple, celery, kale, collard greens, spinach, limes, ginger, broccoli",25.0,7.17,0.0,0.0,0.0,0.4,0.3,0.84,17.0,4.22,0.0,30.0
3852,"cucumber, apple, celery, romaine, spinach, kale, lemon",29.0,6.470000000000001,0.0,0.0,0.0,0.0,0.53,0.8800000000000001,24.0,3.8199999999999994,0.15,26.0
3853,"cucumber, apple, celery, spinach, kale, apple cider vinegar, spirulina, mint",33.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.33,0.0,17.0
3854,"cucumber, apple, green pepper, spinach, romaine, kale, parsley, lemon",0.0,7.56,0.0,0.0,0.0,0.0,0.16,0.0,9.0,5.33,0.0,31.0
3855,"cucumber, apple, lemon, ginger, mint",77.0,7.27,0.0,0.0,0.0,0.6999999999999998,0.4000000000000001,0.44,8.0,2.64,0.0,46.0
3856,"cucumber, celery, kale, romaine, lemons, limes, fennel, parsley, sprouted quinoa, basil, sea salt, cayenne",34.0,4.22,0.0,0.0,0.0,0.4,0.3,0.8400000000000001,36.0,1.69,0.0,19.0
3857,"cucumber, celery, orange, avocado, spinach, lemons, olive oil, sea salt, tumeric, cayenne",25.0,5.49,0.0,0.42,0.0,0.8,0.46,0.84,59.0,2.95,2.53,46.0
3858,"cucumber, celery, oranges, avocado, spinach, lemons, olive oil, sea salt, turmeric, cayenne",25.0,5.489999999999999,0.0,0.42,0.0,0.8000000000000002,0.46,0.84,59.0,2.9500000000000006,2.53,46.0
3859,"cucumber, celery, spinach, parsley, lemon",55.0,4.19,0.0,0.0,0.0,0.4,1.39,1.32,51.0,1.54,0.33,20.0
3860,"cucumber, classic seasoning",12.0,3.49,0.0,0.0,0.0,0.0,0.23,1.16,267.0,1.16,0.0,17.0
3861,"cucumber, coconut, oranges, spinach, kale, yams, lemons, limes, peppermint",25.0,6.75,0.0,0.0,0.0,0.4,0.46,0.84,32.0,3.38,0.0,30.0
3862,"cucumber, grape tomatoes, ranch dip",24.0,4.71,9.0,0.88,0.0,0.6,0.21,1.18,206.0,3.53,11.76,129.0
3863,"cucumber, green apple, spinach, lime, aloe, chia seed, vegan probiotic",25.0,5.83,0.0,0.0,0.0,0.8,0.0,0.8299999999999998,6.0,3.75,0.0,29.0
3864,"cucumber, lite ranch dressing",28.0,4.23,4.0,0.0,0.0,0.7,0.25,0.7,120.0,2.11,3.52,49.0
3865,"cucumber, pineapple, kale, lime, mint",42.0,6.34,0.0,0.0,0.0,0.0,0.7600000000000001,1.27,8.0,3.81,0.0,30.0
3866,"cucumber, pineapples, apples , spearmint, ginger",18.0,10.62,0.0,0.0,0.0,1.8,0.64,0.88,9.0,8.85,0.0,44.0
3867,"cucumber, spinach, apple, celery, lemon, ginger",28.0,5.63,0.0,0.0,0.0,1.3999999999999997,0.7600000000000001,1.13,42.0,3.1,0.14,31.0
3868,"cucumber, spinach, avocado, pineapple, celery, ginger root, parsley, lemon zest",39.0,6.37,0.0,0.49000000000000005,0.0,2.5,0.9800000000000001,1.47,27.0,2.45,3.4300000000000006,54.0
3869,"cucumber, water, onions, sugar, vinegar, salt, citric acid, fd&c yellow #5, blue #1",11.0,9.0,0.0,0.0,0.0,0.2,0.0,0.0,290.0,8.0,0.0,35.0
3870,cucumbers,17.0,3.8,0.0,0.0,0.0,0.4,0.3,0.84,2.0,1.69,0.0,15.0
3871,"cucumbers, carrots, spicy jalapeno hummus",24.0,11.18,0.0,0.59,0.0,2.9,0.64,2.35,218.0,3.53,7.06,118.0
3872,"cucumbers, carrots, sugar snap peas, hummus , water, canola oil, concentrated lemon juice, sea salt, vinegar, garlic)",19.0,7.55,0.0,0.24,0.0,2.8,1.36,1.89,75.0,2.83,2.36,57.0
3873,"cucumbers, celery, green apple juice, lemons, spinach, kale",269.85714285714283,184.96428571428572,0.0,0.0,0.0,7.714285714285714,3.8542857142857145,15.417142857142858,95.85714285714286,104.03999999999999,0.0,435.2857142857143
3874,"cucumbers, corn syrup, high fructose corn syrup, vinegar, salt, water, red bell pepper, 01 sodium benzoate , alum, xanthan gum, calcium chloride, natural flavors, polysorbate 80, and yellow 5",0.0,26.67,0.0,0.0,0.0,0.0,0.0,0.0,800.0,20.0,0.0,100.0
3875,"cucumbers, dill, salt, horseradish, garlic, spices",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,966.0,0.0,0.0,11.0
3876,"cucumbers, honeydew, pineapples, wild blueberries, chia seeds, flax seeds hemp seeds",29.0,11.01,0.0,0.22,0.0,2.6,0.66,1.76,7.0,6.61,2.2,62.0
3877,"cucumbers, onion, carrot, red peppers, water, sugar, vinegar, salt, charlock",10.0,5.0,0.0,0.0,0.0,1.0,0.18,1.0,402.0,3.0,0.0,21.0
3878,"cucumbers, onions, water, vinegar, sugar, red pepper, salt, citric acid, spices, yellow #5, blue #1",12.0,12.94,0.0,0.0,0.0,0.0,0.12,0.0,3529.0,11.76,0.0,53.0
3879,"cucumbers, water, salt, acidity regulator , sugar, flavoring",0.0,3.85,0.0,0.0,0.0,0.0,0.0,3.85,450.0,3.85,0.0,23.0
3880,cultivated blueberries,6.409090909090909,12.592272727272727,0.0,0.0,0.0,2.775,0.1465909090909091,0.5965909090909091,0.0,8.693636363636363,0.5965909090909091,53.34090909090909
3881,"cultivated blueberries, dark sweet cherries, red tart cherries and sliced strawberries",14.0,12.14,0.0,0.0,0.0,2.1,0.51,0.71,0.0,8.57,0.0,50.0
3882,"cultivated blueberries, whole blackberries, whole raspberries",20.0,12.93,0.0,0.0,0.0,4.8,0.54,0.68,0.0,8.16,0.68,54.0
